,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,1,0,1,0,0.013888888888888888,0,0,0,1,0,0,0,0,1,0.11542288557213934,0.0012750980844680362,0,1,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0.4722222222222222,1,0,1,0,1,0,0,0,0,0.38507462686567173,0.2158666051234711,0,1,0,0,0,1,0,0,0,0,1
2,0,0,0,0,0.027777777777777776,1,0,1,1,0,0,0,0,1,0.3542288557213931,0.010310408492961,1,1,0,0,1,0,0,0,0,0,1
3,0,0,0,0,0.625,0,0,1,0,1,1,0,0,0,0.2393034825870647,0.21024117239787682,0,1,0,0,0,1,0,1,0,0,0
4,1,0,0,0,0.027777777777777776,1,0,0,0,0,0,0,0,1,0.5218905472636817,0.015330025386568202,1,0,1,0,1,0,0,0,0,1,0
5,1,0,0,0,0.1111111111111111,1,1,0,0,1,0,1,1,1,0.8099502487562191,0.0925109623817217,1,0,1,0,1,0,0,0,0,1,0
6,0,0,0,1,0.3055555555555555,1,1,0,1,0,0,1,0,1,0.7049751243781095,0.22277867528271414,0,0,1,0,1,0,0,0,1,0,0
7,1,0,0,0,0.1388888888888889,0,0,1,0,0,0,0,0,0,0.11442786069651742,0.03266789753057928,0,1,0,0,1,0,0,0,0,0,1
8,1,0,1,0,0.38888888888888884,1,1,0,0,1,1,1,1,1,0.8611940298507464,0.34932494807292874,1,0,1,0,1,0,0,0,0,1,0
9,0,0,0,1,0.861111111111111,1,0,1,1,0,0,0,0,0,0.3771144278606966,0.4003173321024695,0,1,0,0,0,1,0,1,0,0,0
10,0,0,1,1,0.18055555555555555,1,0,1,0,0,0,0,0,1,0.3154228855721394,0.06561850911608588,0,1,0,0,1,0,0,0,0,0,1
11,0,0,0,0,0.2222222222222222,1,0,0,0,0,0,0,0,0,0.006965174129353215,0.03554119547657513,0,0,0,1,0,0,1,0,1,0,0
12,0,0,1,0,0.8055555555555555,1,1,0,0,1,0,1,1,0,0.8169154228855723,0.6533925686591278,0,0,1,0,0,1,0,0,1,0,0
13,0,0,0,0,0.6805555555555555,1,1,0,1,1,0,1,1,1,0.8502487562189057,0.5789868451419341,1,0,1,0,1,0,0,1,0,0,0
14,0,0,0,0,0.3472222222222222,1,0,1,0,1,1,1,1,1,0.8681592039800997,0.3077832910223864,0,0,1,0,1,0,0,0,0,1,0
15,1,0,1,1,0.9583333333333333,1,1,1,1,1,1,1,1,0,0.9452736318407963,0.9088795291945536,0,0,1,0,0,0,1,0,1,0,0
16,1,0,0,0,0.7222222222222222,1,0,0,0,0,0,0,0,0,0.02388059701492535,0.11587237479806144,0,0,0,1,0,1,0,0,0,0,1
17,0,0,0,1,0.986111111111111,1,1,1,0,1,0,1,1,0,0.8800995024875625,0.8496942072467115,0,0,1,0,0,0,1,1,0,0,0
18,1,0,1,1,0.1388888888888889,1,0,0,0,1,1,0,0,0,0.3676616915422886,0.05879875375028851,1,1,0,0,1,0,0,0,1,0,0
19,1,0,0,0,0.29166666666666663,1,0,0,1,1,0,0,1,1,0.7144278606965174,0.21279713824140326,0,0,1,0,1,0,0,0,0,1,0
20,0,1,0,0,0.013888888888888888,0,0,0,0,1,0,0,1,1,0.21293532338308463,0.0024059543041772447,1,1,0,0,1,0,0,0,0,1,0
21,0,0,1,0,0.16666666666666666,1,0,0,0,0,0,0,0,0,0.015422885572139309,0.021168936072005543,0,0,0,1,0,1,0,1,0,0,0
22,0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.018905472636815888,0.00015578121393953345,1,0,0,1,1,0,0,0,0,0,1
